SS,mo_60,mo_63,mo_66,mo_69,mo_72,mo_75,mo_78,mo_81,mo_84,mo_87,mo_90,mo_93,mo_96,mo_102,mo_108,mo_114,mo_120,mo_126,mo_132,mo_138,mo_144,mo_150,mo_156,mo_168,mo_180,mo_192,mo_228
160,32-62,33-62,35-62,36-62,37-62,39-62,40-62,42-62,43-62,45-62,47-62,48-62,50-62,51-62,53-62,54-62,56-62,58-62,59-62,61-62,-,-,-,-,-,-,-
159,31,-,34,-,-,-,-,-,-,-,46,-,49,-,52,-,-,57,-,-,62,-,-,-,-,-,-
158,-,32,-,35,-,38,-,41,-,44,-,47,-,50,-,-,55,-,-,60,-,-,-,-,-,-,-
157,-,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,56,58,-,-,-,-,-,-,-,-
156,30,-,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54,-,-,59,61,-,-,-,-,-,-
155,-,31,-,-,-,-,38,-,41,-,44,-,-,49,-,52,-,-,57,-,-,62,-,-,-,-,-
154,-,-,32,-,35,-,-,-,-,-,-,-,47,-,50,-,-,55,-,-,60,-,-,-,-,-,-
153,29,-,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,56,58,-,61,-,-,-,-,-
152,-,30,-,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54,-,-,59,-,-,-,-,-,-
151,28,-,31,-,-,35,-,38,-,41,-,44,-,-,49,-,52,-,-,57,-,-,62,-,-,-,-
150,-,29,-,32,-,-,-,-,39,-,42,-,-,47,-,50,-,53,55,-,58,60,-,-,-,-,-
149,-,-,30,-,33,-,36,-,-,-,-,-,45,-,48,-,51,-,-,56,-,-,61,-,-,-,-
148,27,-,-,31,-,34,-,37,-,40,-,43,-,46,-,49,-,-,54,-,-,59,-,-,-,-,-
147,-,28,-,-,-,-,35,-,38,-,41,-,44,-,47,-,-,52,-,55,57,-,60,62,-,-,-
146,-,-,29,-,32,-,-,36,-,39,-,42,-,45,-,-,50,-,53,-,-,58,-,-,-,-,-
145,26,-,-,30,-,33,-,-,-,-,40,-,-,-,-,48,-,51,-,-,56,-,-,61,-,-,-
144,-,27,-,-,31,-,34,-,37,-,-,-,43,-,46,-,49,-,-,54,-,57,59,-,-,-,-
143,-,-,28,-,-,32,-,35,-,38,-,41,-,44,-,47,-,50,52,-,55,-,-,60,62,-,-
142,25,-,-,29,-,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,-,58,-,-,-,-
141,-,26,27,-,30,-,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54,56,-,59,61,-,-
140,24,-,-,28,-,31,-,-,-,-,38,-,41,-,-,-,-,49,-,52,-,-,57,-,-,62,-
139,-,25,-,-,29,-,32,-,35,-,-,-,-,-,44,-,47,-,50,-,-,55,-,-,60,-,-
138,-,-,26,-,-,30,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,56,58,-,61,-
137,23,-,-,27,-,-,-,-,34,-,37,-,40,-,43,-,46,-,49,51,-,54,-,-,59,-,-
136,-,24,-,-,28,-,31,-,-,35,-,38,-,41,-,44,-,47,-,-,52,-,-,57,-,-,62
135,-,-,25,-,-,29,-,32,-,-,36,-,39,-,42,-,45,-,-,50,-,53,55,-,58,60,-
134,22,-,-,26,-,-,30,-,33,-,-,-,-,40,-,-,-,-,48,-,51,-,-,56,-,-,61
133,-,23,-,-,27,-,-,31,-,34,-,37,-,-,-,43,-,46,-,49,-,-,54,-,57,59,-
132,-,-,24,25,-,28,-,-,32,-,35,-,38,-,41,-,44,-,47,-,-,52,-,55,-,-,60
131,21,22,-,-,26,-,29,-,-,33,-,36,-,39,-,42,-,45,-,48,50,-,53,-,-,58,-
130,-,-,23,-,-,27,-,30,-,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54,56,-,59
129,20,-,-,24,-,-,28,-,31,-,-,35,-,38,-,41,-,44,-,-,49,-,52,-,-,57,-
128,-,21,-,-,25,-,-,29,-,32,-,-,-,-,-,-,-,-,-,47,-,50,-,-,55,-,-
127,-,-,22,-,-,26,-,-,30,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-,56,58
126,19,-,-,23,-,-,27,-,-,31,-,34,-,37,-,40,-,43,-,46,-,49,51,-,54,-,-
125,-,20,-,-,24,-,-,28,-,-,32,-,35,-,38,-,41,-,44,-,47,-,-,52,-,-,57
124,-,-,21,22,-,25,26,-,29,-,-,33,-,36,-,39,-,42,-,45,-,-,50,-,53,55,-
123,18,-,-,-,23,-,-,27,-,30,-,-,34,-,37,-,40,-,43,-,-,48,-,51,-,-,56
122,-,19,20,-,-,24,-,-,28,-,31,-,-,-,-,38,-,41,-,-,46,-,49,-,52,54,-
121,-,-,-,21,-,-,25,-,-,29,-,32,-,35,-,-,-,-,-,44,-,47,-,50,-,-,55
120,17,18,-,-,22,-,-,26,-,-,30,-,33,-,36,-,39,-,42,-,45,-,48,-,-,53,-
119,-,-,19,-,-,23,-,-,27,-,-,31,-,34,-,37,-,40,-,43,-,46,-,-,51,-,54
118,16,-,-,20,-,-,24,-,-,28,-,-,32,-,35,-,38,-,41,-,44,-,47,49,-,52,-
117,-,17,-,-,21,22,-,25,26,-,29,-,-,33,-,36,-,39,-,42,-,45,-,-,50,-,53
116,-,-,18,19,-,-,23,-,-,27,-,30,-,-,34,-,37,-,40,-,43,-,-,48,-,51,-
115,15,-,-,-,20,-,-,24,-,-,28,-,31,-,-,-,-,38,-,41,-,-,46,-,49,-,-
114,-,16,17,-,-,21,-,-,25,-,-,29,-,32,-,35,-,-,-,-,-,44,-,47,-,50,52
113,-,-,-,18,-,-,22,-,-,26,-,-,30,-,33,-,36,-,39,-,42,-,45,-,48,-,-
112,14,15,-,-,19,-,-,23,24,-,27,-,-,31,-,34,-,37,-,40,-,43,-,46,-,-,51
111,-,-,16,-,-,20,21,-,-,25,-,28,-,-,32,-,35,-,38,-,41,-,44,-,47,49,-
110,-,-,-,17,18,-,-,22,-,-,26,-,29,-,-,33,-,36,-,39,-,42,-,45,-,-,50
109,13,14,-,-,-,19,-,-,23,-,-,27,-,30,-,-,34,-,37,-,40,-,43,-,-,48,-
108,-,-,15,16,-,-,20,-,-,24,-,-,28,-,31,-,-,35,-,38,-,41,-,-,46,-,49
107,12,-,-,-,17,-,-,21,-,-,25,-,-,29,-,32,-,-,-,-,-,-,-,44,-,47,-
106,-,13,14,-,-,18,-,-,22,23,-,26,-,-,30,-,33,-,36,-,39,-,42,-,45,-,48
105,-,-,-,15,-,-,19,20,-,-,24,-,27,-,-,31,-,34,-,37,-,40,-,43,-,46,-
104,11,-,-,-,16,17,-,-,21,-,-,25,-,28,29,-,32,-,35,-,38,-,41,-,44,-,47
103,-,12,13,-,-,-,18,-,-,22,-,-,26,-,-,30,-,33,-,36,-,39,-,42,-,45,-
102,-,-,-,14,15,-,-,19,-,-,23,-,-,27,-,-,31,-,34,-,37,-,40,-,43,-,-
101,10,11,-,-,-,16,-,-,20,21,-,24,25,-,28,-,-,32,-,35,-,38,-,41,-,44,46
100,-,-,12,13,-,-,17,18,-,-,22,-,-,26,-,29,-,-,33,-,36,-,39,-,42,-,-
99,9,-,-,-,14,-,-,-,19,-,-,23,-,-,27,-,30,-,-,-,-,37,-,-,-,-,45
98,-,10,11,-,-,15,16,-,-,20,-,-,24,-,-,28,-,31,-,34,-,-,-,40,-,43,-
97,-,-,-,12,13,-,-,17,-,-,21,22,-,25,-,-,29,-,32,-,35,-,38,-,41,-,44
96,8,9,-,-,-,14,-,-,18,19,-,-,23,-,26,-,-,30,-,33,-,36,-,39,-,42,-
95,-,-,10,11,-,-,15,16,-,-,20,-,-,24,-,27,28,-,31,-,34,-,37,-,40,-,43
94,7,-,-,-,12,13,-,-,17,-,-,21,-,-,25,-,-,29,-,32,-,35,-,38,-,41,-
93,-,8,9,-,-,-,14,-,-,18,19,-,22,23,-,26,-,-,30,-,33,-,36,-,39,-,42
92,-,-,-,10,11,-,-,15,16,-,-,20,-,-,24,-,27,-,-,31,-,34,-,37,-,40,-
91,6,7,-,-,-,12,13,-,-,17,-,-,21,-,-,25,-,28,-,-,-,-,35,-,-,-,-
90,-,-,8,9,-,-,-,14,-,-,18,-,-,22,-,-,26,-,29,-,32,-,-,-,38,-,41
89,5,-,-,-,10,11,-,-,15,16,-,19,20,-,23,-,-,27,-,30,-,33,-,36,-,39,-
88,-,6,7,-,-,-,12,13,-,-,17,-,-,21,-,24,25,-,28,-,31,-,34,-,37,-,40
87,-,-,-,8,9,-,-,-,14,-,-,18,-,-,22,-,-,26,-,29,-,32,-,35,-,38,-
86,4,5,-,-,-,10,11,-,-,15,-,-,19,20,-,23,-,-,27,-,30,-,33,-,36,-,39
85,-,-,6,7,-,-,-,12,-,-,16,17,-,-,21,-,24,-,-,28,-,31,-,34,-,37,-
84,3,-,-,-,8,9,-,-,13,14,-,-,18,-,-,22,-,25,-,-,29,-,32,-,35,-,38
83,-,4,5,-,-,-,10,11,-,-,15,-,-,19,-,-,23,-,26,-,-,30,-,33,-,36,-
82,-,-,-,6,7,-,-,-,12,-,-,16,17,-,20,-,-,24,-,27,-,-,-,-,-,-,-
81,2,3,-,-,-,8,9,-,-,13,14,-,-,18,-,21,22,-,25,-,28,-,31,-,34,-,37
80,-,-,4,5,6,-,-,10,11,-,-,15,-,-,19,-,-,23,-,26,-,29,-,32,-,35,-
79,1,-,-,-,-,7,-,-,-,12,-,-,16,-,-,20,-,-,24,-,27,-,30,-,33,-,36
78,-,2,3,4,-,-,8,9,-,-,13,14,-,17,18,-,21,-,-,25,-,28,-,31,-,34,-
77,-,-,-,-,5,6,-,-,10,11,-,-,15,-,-,19,-,22,-,-,26,-,29,-,32,-,35
76,0,1,2,-,-,-,7,-,-,-,12,-,-,16,-,-,20,-,23,-,-,27,-,30,-,33,-
75,-,-,-,3,4,-,-,8,9,-,-,13,-,-,17,-,-,21,-,24,-,-,28,-,31,-,34
74,-,-,-,-,-,5,6,-,-,10,11,-,14,15,-,18,19,-,22,-,25,-,-,29,-,32,-
73,-,0,1,2,-,-,-,7,-,-,-,12,-,-,16,-,-,20,-,23,-,26,-,-,-,-,-
72,-,-,-,-,3,4,-,-,8,9,-,-,13,-,-,17,-,-,21,-,24,-,27,-,30,-,33
71,-,-,0,-,-,-,5,6,-,-,10,-,-,14,15,-,18,-,-,22,-,25,-,28,-,31,-
70,-,-,-,1,2,-,-,-,7,-,-,11,12,-,-,16,-,19,-,-,23,-,26,-,29,-,32
69,-,-,-,-,-,3,4,-,-,8,9,-,-,13,-,-,17,-,20,-,-,24,-,27,-,30,-
68,-,-,-,0,-,-,-,5,6,-,-,10,-,-,14,-,-,18,-,21,22,-,25,-,28,-,31
67,-,-,-,-,1,2,-,-,-,7,-,-,11,12,-,15,16,-,19,-,-,23,-,26,-,29,-
66,-,-,-,-,-,-,3,4,-,-,8,9,-,-,13,-,-,17,-,20,-,-,-,-,27,-,30
65,-,-,-,-,0,-,-,-,5,6,-,-,10,-,-,14,-,-,18,-,21,-,24,-,-,-,-
64,-,-,-,-,-,1,2,-,-,-,7,-,-,11,12,-,15,-,-,19,-,22,-,25,-,28,-
63,-,-,-,-,-,-,-,3,4,-,-,8,9,-,-,13,-,16,-,-,20,-,23,-,26,-,29
62,-,-,-,-,-,0,-,-,-,5,6,-,-,10,-,-,14,-,17,18,-,21,-,24,-,27,-
61,-,-,-,-,-,-,1,2,-,-,-,7,-,-,11,-,-,15,-,-,19,-,22,-,25,-,28
60,-,-,-,-,-,-,-,-,3,4,-,-,8,9,-,12,13,-,16,-,-,20,-,23,-,26,-
59,-,-,-,-,-,-,0,1,-,-,5,6,-,-,10,-,-,14,-,17,-,-,21,-,24,-,27
58,-,-,-,-,-,-,-,-,2,-,-,-,7,-,-,11,-,-,15,-,18,-,-,22,-,25,-
57,-,-,-,-,-,-,-,-,-,3,4,-,-,8,-,-,12,-,-,16,-,19,-,-,23,-,26
56,-,-,-,-,-,-,-,0,1,-,-,5,6,-,9,10,-,13,14,-,17,-,20,-,-,-,-
55,-,-,-,-,-,-,-,-,-,2,-,-,-,7,-,-,11,-,-,15,-,18,-,21,-,24,-
54,-,-,-,-,-,-,-,-,-,-,3,4,-,-,8,-,-,12,-,-,16,-,19,-,22,-,25
53,-,-,-,-,-,-,-,-,0,1,-,-,5,-,-,9,10,-,13,-,-,17,-,20,-,23,-
52,-,-,-,-,-,-,-,-,-,-,2,-,-,6,7,-,-,11,-,14,-,-,18,-,21,-,24
51,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,8,-,-,12,-,15,-,-,19,-,22,-
50,-,-,-,-,-,-,-,-,-,0,1,-,-,5,-,-,9,-,-,13,-,16,17,-,20,-,23
49,-,-,-,-,-,-,-,-,-,-,-,2,-,-,6,7,-,10,11,-,14,-,-,18,-,21,-
48,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,8,-,-,12,-,15,-,-,19,-,22
47,-,-,-,-,-,-,-,-,-,-,0,1,-,-,5,-,-,9,-,-,13,-,16,-,-,-,-
46,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,6,7,-,10,-,-,14,-,17,-,20,-
45,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,8,-,11,12,-,15,-,18,-,21
44,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,5,-,-,9,-,-,13,-,16,-,19,-
43,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,6,-,-,10,-,-,14,-,17,-,20
42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,7,8,-,11,-,-,15,-,18,-
41,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,5,-,-,9,-,12,-,-,16,-,19
40,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0-2,0-3,0-4,0-6,0-7,0-8,0-10,0-11,0-13,0-14,0-15,0-17,0-18
